日线	000581	威孚高科										
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6
20090803	11.06000042	11.18999958	10.97999954	11.18000031	140368	15543	11.11400032	11.26799965	11.55350018	11.42700005	10.46516705	8.163162231
20090731	10.82999992	11.11999989	10.78999996	11.06999969	111639	12171.7002	11.21000004	11.35000038	11.55850029	11.423666	10.43283272	8.155442238
20090730	11	11.25	10.52000046	10.78999996	116868	12615	11.30599976	11.42700005	11.57600117	11.42299938	10.40108395	8.148442268
20090729	11.57999992	11.89999962	10.51000023	10.97999954	170793	19590.80078	11.4119997	11.55900002	11.62300014	11.43666458	10.36616707	8.140481949
20090728	11.60000038	11.65999985	11.39000034	11.55000019	103364	11917.2998	11.49600029	11.70100117	11.65850067	11.43899822	10.33250141	8.129081726
20090727	11.55000019	11.77000046	11.28999996	11.65999985	155367	17866.69922	11.42199993	11.78600025	11.63000107	11.42666435	10.29400063	8.115441322
20090724	11.30000019	11.65999985	11.15999985	11.55000019	150870	17346.59961	11.48999977	11.80000114	11.58550072	11.40999794	10.25158405	8.103880882
20090723	11.32999992	11.38000011	11.13000011	11.31999969	92784	10448.09961	11.54799938	11.80600071	11.55749989	11.39866543	10.20966721	8.09512043
20090722	11.30000019	11.44999981	11.10000038	11.39999962	138227	15618.59961	11.70599937	11.83200073	11.54599953	11.41266441	10.1673336	8.08644104
20090721	12	12	11.10000038	11.18000031	166619	19246.5	11.90600014	11.82000065	11.52149963	11.42166424	10.12291527	8.078280449
20090720	11.85000038	12.09000015	11.85000038	12	96391	11532.2998	12.14999962	11.83899975	11.50650024	11.42999744	10.07899857	8.072720528
20090717	12	12.10999966	11.76000023	11.84000015	120204	14291.2998	12.10999966	11.76700115	11.46049881	11.41733074	10.02683163	8.061840057
20090716	12.43000031	12.51000023	12.10000038	12.10999966	93175	11386.2002	12.06400013	11.72500038	11.42099953	11.41066456	9.976666451	8.050800323
